image_id,label
weeds/DSC01485_geotag_ROI_89.png,0
betterave/000472__flipv.png,2
epinard/000493__fliph.png,4
epinard/000136.png,4
betterave/001773__rot-180.png,2
betterave/001425__flipv.png,2
betterave/000964__rot-180.png,2
betterave/001337.png,2
epinard/001263__fliph.png,4
hors_type/DSC01623_geotag_ROI_20__rot90.png,1
epinard/000968__flipv.png,4
betterave/000563__flipv.png,2
betterave/001953__rot-180.png,2
weeds/DSC01488_geotag_ROI_35.png,0
epinard/000326__flipv.png,4
persil/001894.png,3
persil/001697.png,3
persil/000293.png,3
epinard/000478__fliph.png,4
epinard/000407__fliph.png,4
weeds/DSC01605_geotag_ROI_198.png,0
weeds/DSC01525_geotag_ROI_8.png,0
weeds/DSC01602_geotag_ROI_30.png,0
persil/001639.png,3
epinard/001259__fliph.png,4
persil/000835.png,3
betterave/001649__rot90.png,2
weeds/DSC01488_geotag_ROI_8.png,0
weeds/DSC01606_geotag_ROI_31.png,0
hors_type/DSC01547_geotag_ROI_3__flipv.png,1
persil/000034__flipv.png,3
weeds/DSC01555_geotag_ROI_1.png,0
weeds/009376.png,0
weeds/DSC01517_geotag_ROI_17.png,0
epinard/000586__flipv.png,4
betterave/001595__flipv.png,2
hors_type/DSC01517_geotag_ROI_10__flipv.png,1
persil/001637.png,3
persil/001045.png,3
weeds/018936.png,0
epinard/000836__fliph.png,4
epinard/000126.png,4
weeds/DSC01620_geotag_ROI_11.png,0
betterave/000733__rot-180.png,2
epinard/001193.png,4
epinard/001172__fliph.png,4
persil/000490__flipv.png,3
hors_type/DSC01539_geotag_ROI_0.png,1
persil/001413.png,3
betterave/000464__fliph.png,2
betterave/000831__flipv.png,2
persil/000167__flipv.png,3
weeds/DSC01604_geotag_ROI_133.png,0
epinard/000490__fliph.png,4
persil/001276.png,3
hors_type/DSC01538_geotag_ROI_2__rot-90.png,1
weeds/DSC01525_geotag_ROI_14.png,0
weeds/DSC01605_geotag_ROI_566.png,0
betterave/000658__rot90.png,2
betterave/001361__rot90.png,2
weeds/DSC01533_geotag_ROI_13.png,0
hors_type/DSC01491_geotag_ROI_24__fliph.png,1
weeds/011664.png,0
hors_type/DSC01512_geotag_ROI_19__rot90.png,1
betterave/000565__rot-180.png,2
hors_type/DSC01506_geotag_ROI_6__rot90.png,1
persil/001447.png,3
betterave/000599__fliph.png,2
epinard/000241.png,4
persil/000408.png,3
epinard/000785__fliph.png,4
weeds/010521.png,0
epinard/000369__flipv.png,4
betterave/001855__rot90.png,2
persil/000954__flipv.png,3
weeds/022224.png,0
betterave/001456__flipv.png,2
betterave/001750.png,2
hors_type/DSC01576_geotag_ROI_21.png,1
weeds/DSC01593_geotag_ROI_9.png,0
persil/001189__flipv.png,3
weeds/DSC01495_geotag_ROI_5.png,0
epinard/000337.png,4
epinard/000745.png,4
persil/001767__flipv.png,3
persil/001267__flipv.png,3
hors_type/DSC01506_geotag_ROI_10__fliph.png,1
epinard/000750__fliph.png,4
betterave/001439__flipv.png,2
persil/000827.png,3
persil/001529.png,3
persil/000202__flipv.png,3
epinard/000543.png,4
epinard/001313.png,4
betterave/001626.png,2
weeds/022627.png,0
betterave/000709__flipv.png,2
betterave/000949__flipv.png,2
persil/001061__flipv.png,3
weeds/DSC01605_geotag_ROI_100.png,0
betterave/001404.png,2
persil/001666__flipv.png,3
betterave/000918.png,2
epinard/000228__flipv.png,4
weeds/009401.png,0
betterave/000975__rot-180.png,2
betterave/001684__rot-180.png,2
weeds/DSC01605_geotag_ROI_399.png,0
betterave/001507__flipv.png,2
weeds/DSC01487_geotag_ROI_45.png,0
epinard/000063__flipv.png,4
weeds/DSC01598_geotag_ROI_1.png,0
persil/000811__flipv.png,3
betterave/000971__rot-180.png,2
persil/000408__flipv.png,3
weeds/DSC01557_geotag_ROI_9.png,0
betterave/001594__flipv.png,2
epinard/000487__flipv.png,4
persil/000544__flipv.png,3
betterave/001635__fliph.png,2
epinard/000208__fliph.png,4
persil/001172.png,3
betterave/000530__flipv.png,2
betterave/000376__fliph.png,2
weeds/DSC01553_geotag_ROI_44.png,0
weeds/DSC01489_geotag_ROI_39.png,0
betterave/001887__rot90.png,2
hors_type/DSC01544_geotag_ROI_25.png,1
weeds/DSC01605_geotag_ROI_434.png,0
hors_type/DSC01550_geotag_ROI_10__rot-90.png,1
betterave/001302__fliph.png,2
epinard/000998__flipv.png,4
epinard/000744__flipv.png,4
epinard/000142__flipv.png,4
epinard/000991__fliph.png,4
weeds/DSC01587_geotag_ROI_1.png,0
epinard/000931.png,4
weeds/DSC01490_geotag_ROI_42.png,0
betterave/000927__fliph.png,2
betterave/001481__rot-180.png,2
persil/001360__flipv.png,3
betterave/001525__rot-180.png,2
persil/000662.png,3
betterave/000844__rot90.png,2
epinard/000973.png,4
betterave/001699__rot90.png,2
weeds/DSC01503_geotag_ROI_49.png,0
hors_type/DSC01547_geotag_ROI_1__rot90.png,1
betterave/001684__flipv.png,2
epinard/001046__fliph.png,4
persil/000044.png,3
epinard/001301__flipv.png,4
persil/000599__flipv.png,3
persil/000691__flipv.png,3
epinard/000995__fliph.png,4
betterave/001890__rot90.png,2
hors_type/DSC01623_geotag_ROI_38__flipv.png,1
weeds/DSC01605_geotag_ROI_383.png,0
betterave/001977__fliph.png,2
betterave/001694.png,2
epinard/000651__fliph.png,4
epinard/000747__fliph.png,4
betterave/001064__rot90.png,2
persil/001827__flipv.png,3
hors_type/DSC01634_geotag_ROI_1__rot-90.png,1
weeds/DSC01606_geotag_ROI_38.png,0
betterave/001539__rot-180.png,2
hors_type/DSC01503_geotag_ROI_51__flipv.png,1
betterave/000888__rot-180.png,2
hors_type/DSC01599_geotag_ROI_16__rot90.png,1
persil/000205__flipv.png,3
epinard/000674__flipv.png,4
epinard/001237.png,4
epinard/001019__flipv.png,4
betterave/001064__rot-180.png,2
weeds/DSC01565_geotag_ROI_11.png,0
betterave/001034__rot90.png,2
epinard/000073__fliph.png,4
hors_type/DSC01498_geotag_ROI_8.png,1
persil/000312__flipv.png,3
epinard/000691.png,4
weeds/DSC01620_geotag_ROI_99.png,0
hors_type/DSC01594_geotag_ROI_1__rot-90.png,1
weeds/DSC01502_geotag_ROI_7.png,0
betterave/001672.png,2
epinard/000812__flipv.png,4
hors_type/DSC01503_geotag_ROI_68__flipv.png,1
persil/001873__flipv.png,3
hors_type/DSC01588_geotag_ROI_5__flipv.png,1
epinard/001072__fliph.png,4
betterave/000781__rot90.png,2
hors_type/DSC01602_geotag_ROI_20.png,1
epinard/000468__flipv.png,4
persil/000376__flipv.png,3
hors_type/DSC01640_geotag_ROI_11__flipv.png,1
persil/001427__flipv.png,3
betterave/001445.png,2
weeds/DSC01605_geotag_ROI_260.png,0
persil/001712.png,3
persil/000763.png,3
weeds/DSC01620_geotag_ROI_24.png,0
weeds/DSC01518_geotag_ROI_4.png,0
persil/000821__flipv.png,3
weeds/DSC01487_geotag_ROI_90.png,0
epinard/000370__flipv.png,4
weeds/DSC01488_geotag_ROI_2.png,0
epinard/000525__fliph.png,4
betterave/001982__fliph.png,2
persil/001898__flipv.png,3
persil/000527.png,3
weeds/011552.png,0
epinard/000277__fliph.png,4
weeds/DSC01491_geotag_ROI_22.png,0
persil/001559.png,3
persil/000277.png,3
epinard/000182.png,4
persil/001229__flipv.png,3
epinard/000963.png,4
epinard/000132__flipv.png,4
hors_type/DSC01538_geotag_ROI_17__fliph.png,1
hors_type/DSC01599_geotag_ROI_39__fliph.png,1
epinard/001314__flipv.png,4
persil/000623__flipv.png,3
persil/001882__flipv.png,3
betterave/002031__fliph.png,2
hors_type/DSC01576_geotag_ROI_15__rot90.png,1
weeds/DSC01605_geotag_ROI_293.png,0
epinard/000066__fliph.png,4
hors_type/DSC01585_geotag_ROI_10.png,1
persil/001766__flipv.png,3
hors_type/DSC01503_geotag_ROI_51__fliph.png,1
hors_type/DSC01491_geotag_ROI_45__rot-90.png,1
persil/000312.png,3
weeds/DSC01490_geotag_ROI_41.png,0
persil/001820__flipv.png,3
weeds/DSC01539_geotag_ROI_2.png,0
weeds/DSC01538_geotag_ROI_22.png,0
epinard/000396.png,4
epinard/000988.png,4
weeds/DSC01526_geotag_ROI_4.png,0
betterave/001581__flipv.png,2
betterave/000836__flipv.png,2
hors_type/DSC01610_geotag_ROI_0__rot90.png,1
betterave/000818.png,2
persil/001449.png,3
hors_type/DSC01640_geotag_ROI_10__rot-90.png,1
hors_type/DSC01570_geotag_ROI_4__rot90.png,1
epinard/000014.png,4
persil/000234.png,3
weeds/DSC01484_geotag_ROI_39.png,0
betterave/001450__rot90.png,2
persil/000459.png,3
weeds/009503.png,0
persil/001357.png,3
epinard/000455.png,4
weeds/DSC01485_geotag_ROI_97.png,0
weeds/DSC01516_geotag_ROI_79.png,0
persil/001149.png,3
betterave/000922__fliph.png,2
epinard/000364__fliph.png,4
persil/000719__flipv.png,3
weeds/DSC01605_geotag_ROI_337.png,0
weeds/DSC01562_geotag_ROI_39.png,0
weeds/DSC01591_geotag_ROI_42.png,0
hors_type/DSC01588_geotag_ROI_5__fliph.png,1
weeds/DSC01605_geotag_ROI_247.png,0
weeds/DSC01486_geotag_ROI_54.png,0
persil/000343__flipv.png,3
hors_type/DSC01524_geotag_ROI_32__fliph.png,1
weeds/DSC01517_geotag_ROI_3.png,0
persil/000518__flipv.png,3
weeds/DSC01507_geotag_ROI_14.png,0
hors_type/DSC01631_geotag_ROI_14__rot90.png,1
weeds/DSC01619_geotag_ROI_40.png,0
weeds/DSC01605_geotag_ROI_485.png,0
persil/001277.png,3
epinard/000481.png,4
epinard/001189.png,4
persil/000676__flipv.png,3
weeds/DSC01510_geotag_ROI_6.png,0
persil/001641__flipv.png,3
weeds/DSC01605_geotag_ROI_103.png,0
hors_type/DSC01485_geotag_ROI_81__rot-90.png,1
weeds/DSC01590_geotag_ROI_32.png,0
betterave/001974__fliph.png,2
epinard/000119__flipv.png,4
epinard/001286__flipv.png,4
hors_type/DSC01538_geotag_ROI_16__rot-90.png,1
betterave/001842__fliph.png,2
betterave/001263__rot90.png,2
weeds/DSC01587_geotag_ROI_36.png,0
persil/001021__flipv.png,3
epinard/001136.png,4
hors_type/DSC01626_geotag_ROI_2__flipv.png,1
hors_type/DSC01588_geotag_ROI_41__rot-90.png,1
epinard/001290.png,4
betterave/001914__flipv.png,2
persil/001041__flipv.png,3
persil/001894__flipv.png,3
hors_type/DSC01643_geotag_ROI_8.png,1
hors_type/DSC01530_geotag_ROI_23__rot-90.png,1
epinard/000583.png,4
betterave/000633__rot90.png,2
weeds/DSC01584_geotag_ROI_2.png,0
epinard/000642__fliph.png,4
hors_type/DSC01538_geotag_ROI_10__rot-90.png,1
hors_type/DSC01570_geotag_ROI_16__rot90.png,1
weeds/DSC01605_geotag_ROI_15.png,0
weeds/DSC01605_geotag_ROI_542.png,0
hors_type/DSC01579_geotag_ROI_0__rot-90.png,1
betterave/000822.png,2
epinard/001044__flipv.png,4
epinard/000203.png,4
persil/001080.png,3
hors_type/DSC01640_geotag_ROI_12.png,1
betterave/000758.png,2
persil/001093__flipv.png,3
betterave/001945__rot-180.png,2
weeds/DSC01611_geotag_ROI_13.png,0
epinard/000748__flipv.png,4
epinard/000986__fliph.png,4
hors_type/DSC01506_geotag_ROI_22__fliph.png,1
epinard/000872__fliph.png,4
betterave/000980__rot90.png,2
persil/001505__flipv.png,3
persil/000242.png,3
persil/000384__flipv.png,3
epinard/000501__flipv.png,4
betterave/000868__fliph.png,2
weeds/DSC01588_geotag_ROI_7.png,0
weeds/DSC01516_geotag_ROI_48.png,0
betterave/000633__rot-180.png,2
persil/000138__flipv.png,3
persil/001354__flipv.png,3
betterave/000653__flipv.png,2
epinard/000242__fliph.png,4
betterave/001959__flipv.png,2
persil/001195__flipv.png,3
persil/001520__flipv.png,3
epinard/000432__fliph.png,4
epinard/000713__fliph.png,4
persil/000330__flipv.png,3
weeds/DSC01619_geotag_ROI_38.png,0
persil/001171__flipv.png,3
hors_type/DSC01588_geotag_ROI_37__flipv.png,1
persil/000584.png,3
hors_type/DSC01527_geotag_ROI_6.png,1
persil/001403__flipv.png,3
hors_type/DSC01535_geotag_ROI_11__rot-90.png,1
epinard/001048.png,4
weeds/DSC01603_geotag_ROI_23.png,0
weeds/DSC01560_geotag_ROI_86.png,0
epinard/001012.png,4
epinard/000709__fliph.png,4
betterave/001781__flipv.png,2
hors_type/DSC01573_geotag_ROI_13.png,1
persil/001280__flipv.png,3
weeds/DSC01488_geotag_ROI_19.png,0
epinard/000549.png,4
weeds/DSC01605_geotag_ROI_178.png,0
hors_type/DSC01503_geotag_ROI_33__flipv.png,1
weeds/DSC01605_geotag_ROI_116.png,0
epinard/001058__fliph.png,4
persil/000981__flipv.png,3
weeds/DSC01590_geotag_ROI_7.png,0
epinard/000264.png,4
betterave/001306__rot90.png,2
weeds/DSC01605_geotag_ROI_660.png,0
betterave/001184__flipv.png,2
epinard/001191__fliph.png,4
hors_type/DSC01503_geotag_ROI_41__rot-90.png,1
weeds/DSC01605_geotag_ROI_262.png,0
weeds/022479.png,0
persil/001141__flipv.png,3
persil/001402.png,3
epinard/000752.png,4
hors_type/DSC01634_geotag_ROI_6.png,1
weeds/DSC01563_geotag_ROI_2.png,0
weeds/DSC01605_geotag_ROI_132.png,0
betterave/001636__flipv.png,2
betterave/000606__fliph.png,2
persil/000359.png,3
betterave/000526__rot90.png,2
betterave/000776__rot90.png,2
betterave/000941__fliph.png,2
epinard/000806__fliph.png,4
betterave/001389__rot-180.png,2
persil/000424__flipv.png,3
weeds/DSC01495_geotag_ROI_0.png,0
betterave/001154.png,2
weeds/DSC01520_geotag_ROI_7.png,0
betterave/000771__rot-180.png,2
betterave/000934.png,2
persil/000749__flipv.png,3
betterave/000662__rot90.png,2
weeds/DSC01552_geotag_ROI_22.png,0
betterave/000492.png,2
hors_type/DSC01544_geotag_ROI_29__rot90.png,1
epinard/000829.png,4
epinard/000741__flipv.png,4
weeds/011233.png,0
hors_type/DSC01491_geotag_ROI_12.png,1
persil/000617.png,3
hors_type/DSC01635_geotag_ROI_14__rot90.png,1
betterave/000921__rot90.png,2
weeds/DSC01513_geotag_ROI_3.png,0
betterave/001650__fliph.png,2
epinard/000204__fliph.png,4
betterave/001751__fliph.png,2
hors_type/DSC01595_geotag_ROI_20__rot90.png,1
betterave/001175__flipv.png,2
betterave/001782__flipv.png,2
persil/001115.png,3
betterave/001188__fliph.png,2
weeds/DSC01619_geotag_ROI_2.png,0
persil/000812__flipv.png,3
hors_type/DSC01599_geotag_ROI_5__fliph.png,1
epinard/000291.png,4
weeds/DSC01605_geotag_ROI_34.png,0
epinard/000449.png,4
epinard/001319.png,4
betterave/000668__fliph.png,2
weeds/DSC01605_geotag_ROI_688.png,0
epinard/000443__flipv.png,4
hors_type/DSC01547_geotag_ROI_4__rot-90.png,1
epinard/000940.png,4
weeds/DSC01484_geotag_ROI_18.png,0
epinard/000258.png,4
weeds/DSC01605_geotag_ROI_551.png,0
persil/000118__flipv.png,3
weeds/DSC01490_geotag_ROI_15.png,0
persil/000139__flipv.png,3
epinard/001269__fliph.png,4
weeds/DSC01527_geotag_ROI_8.png,0
hors_type/DSC01547_geotag_ROI_1__fliph.png,1
betterave/001971.png,2
hors_type/DSC01576_geotag_ROI_37__flipv.png,1
betterave/000259.png,2
betterave/001958__fliph.png,2
betterave/001653__rot90.png,2
hors_type/DSC01573_geotag_ROI_8.png,1
persil/000910.png,3
hors_type/DSC01620_geotag_ROI_32__rot90.png,1
persil/001319.png,3
hors_type/DSC01631_geotag_ROI_6.png,1
epinard/000297__fliph.png,4
betterave/000430__rot90.png,2
weeds/000322.png,0
weeds/DSC01613_geotag_ROI_4.png,0
hors_type/DSC01573_geotag_ROI_1.png,1
persil/000797.png,3
weeds/DSC01605_geotag_ROI_538.png,0
epinard/000698__fliph.png,4
persil/000650__flipv.png,3
betterave/001446.png,2
hors_type/DSC01506_geotag_ROI_11__flipv.png,1
weeds/DSC01588_geotag_ROI_60.png,0
epinard/000313.png,4
persil/001075.png,3
epinard/000840__flipv.png,4
hors_type/DSC01544_geotag_ROI_33__flipv.png,1
betterave/001879.png,2
hors_type/DSC01530_geotag_ROI_18__flipv.png,1
betterave/001241__rot90.png,2
epinard/000069__fliph.png,4
weeds/DSC01576_geotag_ROI_41.png,0
epinard/001308__flipv.png,4
epinard/001307__flipv.png,4
weeds/DSC01591_geotag_ROI_23.png,0
persil/001929__flipv.png,3
persil/001179.png,3
persil/001225__flipv.png,3
weeds/DSC01484_geotag_ROI_14.png,0
epinard/001183__flipv.png,4
weeds/DSC01508_geotag_ROI_1.png,0
epinard/000180__fliph.png,4
betterave/000699__rot90.png,2
weeds/DSC01616_geotag_ROI_8.png,0
hors_type/DSC01506_geotag_ROI_12__flipv.png,1
persil/001316__flipv.png,3
hors_type/DSC01620_geotag_ROI_29__fliph.png,1
weeds/DSC01482_geotag_ROI_136.png,0
epinard/000060__fliph.png,4
epinard/000077.png,4
epinard/001117.png,4
persil/000801__flipv.png,3
betterave/000566__flipv.png,2
weeds/DSC01486_geotag_ROI_68.png,0
betterave/001976__rot-180.png,2
epinard/000411.png,4
epinard/000567__flipv.png,4
hors_type/DSC01553_geotag_ROI_18__flipv.png,1
epinard/000852.png,4
betterave/001212.png,2
betterave/001879__flipv.png,2
betterave/001259__flipv.png,2
hors_type/DSC01562_geotag_ROI_64__fliph.png,1
hors_type/DSC01509_geotag_ROI_5__rot90.png,1
weeds/DSC01616_geotag_ROI_24.png,0
betterave/000772.png,2
weeds/DSC01619_geotag_ROI_9.png,0
weeds/DSC01617_geotag_ROI_39.png,0
weeds/DSC01597_geotag_ROI_5.png,0
persil/001851.png,3
persil/000925.png,3
hors_type/DSC01608_geotag_ROI_12__fliph.png,1
epinard/000623__flipv.png,4
persil/000572__flipv.png,3
betterave/001511__rot-180.png,2
persil/001135__flipv.png,3
betterave/001333__rot90.png,2
persil/001442__flipv.png,3
epinard/000366.png,4
epinard/000422__fliph.png,4
hors_type/DSC01579_geotag_ROI_0.png,1
weeds/DSC01605_geotag_ROI_588.png,0
weeds/DSC01498_geotag_ROI_10.png,0
persil/000310__flipv.png,3
betterave/001639__fliph.png,2
betterave/001695__fliph.png,2
betterave/001569__fliph.png,2
weeds/DSC01534_geotag_ROI_1.png,0
persil/000559.png,3
weeds/DSC01587_geotag_ROI_19.png,0
epinard/000372.png,4
weeds/DSC01495_geotag_ROI_14.png,0
betterave/001557__fliph.png,2
persil/001444.png,3
persil/001223__flipv.png,3
epinard/000593.png,4
betterave/000574__flipv.png,2
epinard/000180__flipv.png,4
betterave/001577.png,2
epinard/000742__flipv.png,4
betterave/000500.png,2
epinard/001122.png,4
weeds/DSC01605_geotag_ROI_382.png,0
epinard/001296__flipv.png,4
hors_type/DSC01576_geotag_ROI_25__flipv.png,1
epinard/000529.png,4
betterave/000623__fliph.png,2
betterave/000642__rot-180.png,2
weeds/DSC01516_geotag_ROI_90.png,0
weeds/010180.png,0
persil/001654.png,3
weeds/DSC01559_geotag_ROI_1.png,0
persil/000450__flipv.png,3
hors_type/DSC01576_geotag_ROI_17__rot-90.png,1
betterave/000934__fliph.png,2
epinard/000199__fliph.png,4
epinard/000823__flipv.png,4
betterave/001782.png,2
hors_type/DSC01623_geotag_ROI_76__flipv.png,1
hors_type/DSC01518_geotag_ROI_23__rot90.png,1
persil/000633.png,3
persil/000546__flipv.png,3
hors_type/DSC01640_geotag_ROI_15.png,1
weeds/DSC01604_geotag_ROI_36.png,0
epinard/000808__flipv.png,4
betterave/000806.png,2
weeds/DSC01487_geotag_ROI_16.png,0
weeds/DSC01565_geotag_ROI_9.png,0
persil/000009.png,3
hors_type/DSC01608_geotag_ROI_11__rot-90.png,1
epinard/000617.png,4
weeds/DSC01605_geotag_ROI_170.png,0
epinard/000061__flipv.png,4
persil/001982.png,3
weeds/DSC01487_geotag_ROI_49.png,0
weeds/DSC01488_geotag_ROI_26.png,0
betterave/000327__flipv.png,2
weeds/DSC01506_geotag_ROI_3.png,0
epinard/000584__fliph.png,4
epinard/000703.png,4
weeds/DSC01584_geotag_ROI_1.png,0
hors_type/DSC01544_geotag_ROI_9__flipv.png,1
betterave/000913.png,2
betterave/000716__fliph.png,2
betterave/000914__rot-180.png,2
betterave/000955.png,2
betterave/001386__rot90.png,2
persil/000776.png,3
weeds/DSC01556_geotag_ROI_10.png,0
persil/001446__flipv.png,3
persil/000414.png,3
hors_type/DSC01521_geotag_ROI_4__flipv.png,1
weeds/DSC01513_geotag_ROI_5.png,0
epinard/000588__fliph.png,4
epinard/001150__flipv.png,4
persil/001684__flipv.png,3
persil/000085__flipv.png,3
weeds/DSC01486_geotag_ROI_49.png,0
betterave/000400__rot90.png,2
epinard/000612__fliph.png,4
hors_type/DSC01482_geotag_ROI_113__flipv.png,1
hors_type/DSC01578_geotag_ROI_0__rot90.png,1
epinard/001318.png,4
persil/000535.png,3
betterave/000513__fliph.png,2
epinard/001076__flipv.png,4
betterave/000265__rot-180.png,2
betterave/001995.png,2
persil/001026.png,3
epinard/000963__flipv.png,4
persil/000158.png,3
epinard/000310__flipv.png,4
weeds/DSC01491_geotag_ROI_46.png,0
weeds/DSC01560_geotag_ROI_45.png,0
hors_type/DSC01570_geotag_ROI_6__rot-90.png,1
betterave/001585.png,2
persil/001854__flipv.png,3
betterave/001387.png,2
weeds/DSC01561_geotag_ROI_33.png,0
hors_type/DSC01506_geotag_ROI_2__rot90.png,1
betterave/000940__rot90.png,2
weeds/DSC01605_geotag_ROI_23.png,0
weeds/DSC01488_geotag_ROI_13.png,0
persil/001914__flipv.png,3
persil/000978.png,3
persil/000203.png,3
betterave/000957__fliph.png,2
persil/000778__flipv.png,3
persil/000726__flipv.png,3
weeds/DSC01597_geotag_ROI_8.png,0
epinard/000089__flipv.png,4
betterave/000430.png,2
weeds/DSC01605_geotag_ROI_365.png,0
epinard/000110__flipv.png,4
weeds/DSC01485_geotag_ROI_77.png,0
betterave/001852__rot-180.png,2
persil/000093__flipv.png,3
betterave/000811__rot90.png,2
weeds/DSC01605_geotag_ROI_442.png,0
weeds/DSC01482_geotag_ROI_69.png,0
betterave/000787__flipv.png,2
hors_type/DSC01611_geotag_ROI_12__fliph.png,1
persil/001424.png,3
hors_type/DSC01491_geotag_ROI_15__flipv.png,1
epinard/000794__flipv.png,4
betterave/000675__fliph.png,2
betterave/000485.png,2
epinard/000873__flipv.png,4
epinard/000182__fliph.png,4
hors_type/DSC01550_geotag_ROI_12__rot90.png,1
epinard/001125__flipv.png,4
epinard/001016.png,4
weeds/DSC01507_geotag_ROI_11.png,0
betterave/001925.png,2
hors_type/DSC01531_geotag_ROI_4.png,1
weeds/DSC01605_geotag_ROI_47.png,0
epinard/000260__flipv.png,4
epinard/000565__flipv.png,4
epinard/001300__flipv.png,4
persil/000145.png,3
weeds/DSC01606_geotag_ROI_53.png,0
epinard/000221__fliph.png,4
weeds/DSC01516_geotag_ROI_31.png,0
weeds/DSC01483_geotag_ROI_14.png,0
epinard/000747__flipv.png,4
weeds/DSC01560_geotag_ROI_8.png,0
betterave/002027__rot-180.png,2
persil/001872__flipv.png,3
hors_type/DSC01482_geotag_ROI_116__fliph.png,1
betterave/001779__rot-180.png,2
hors_type/DSC01634_geotag_ROI_8__flipv.png,1
persil/001543__flipv.png,3
weeds/010258.png,0
betterave/000899__rot90.png,2
epinard/000182__flipv.png,4
persil/001917__flipv.png,3
hors_type/DSC01611_geotag_ROI_10__fliph.png,1
epinard/000120__fliph.png,4
epinard/001272.png,4
epinard/000497__fliph.png,4
weeds/DSC01605_geotag_ROI_634.png,0
persil/001671.png,3
persil/001224.png,3
betterave/000749__fliph.png,2
persil/001263__flipv.png,3
betterave/001409__rot-180.png,2
persil/000346__flipv.png,3
weeds/DSC01482_geotag_ROI_97.png,0
betterave/001934__flipv.png,2
epinard/000925__fliph.png,4
persil/001949__flipv.png,3
persil/000297__flipv.png,3
weeds/DSC01486_geotag_ROI_45.png,0
epinard/001254__fliph.png,4
epinard/000585__flipv.png,4
persil/001133.png,3
epinard/001155.png,4
epinard/000609__fliph.png,4
persil/001259.png,3
persil/000112.png,3
epinard/001254.png,4
betterave/000595__rot-180.png,2
persil/000380.png,3
betterave/000444__rot90.png,2
weeds/DSC01588_geotag_ROI_13.png,0
epinard/000844.png,4
hors_type/DSC01631_geotag_ROI_6__fliph.png,1
hors_type/DSC01544_geotag_ROI_35__fliph.png,1
hors_type/DSC01637_geotag_ROI_51__rot-90.png,1
weeds/DSC01620_geotag_ROI_87.png,0
epinard/000166__flipv.png,4
epinard/000997__fliph.png,4
weeds/DSC01620_geotag_ROI_84.png,0
epinard/000980__flipv.png,4
epinard/000397__flipv.png,4
betterave/000413__rot-180.png,2
weeds/DSC01613_geotag_ROI_7.png,0
betterave/001280__rot-180.png,2
betterave/000980__rot-180.png,2
betterave/000973__fliph.png,2
weeds/DSC01613_geotag_ROI_15.png,0
weeds/DSC01486_geotag_ROI_52.png,0
betterave/000723__flipv.png,2
betterave/000564__flipv.png,2
persil/001706.png,3
betterave/000927__rot-180.png,2
betterave/001212__flipv.png,2
persil/000470__flipv.png,3
epinard/000656.png,4
hors_type/DSC01576_geotag_ROI_36__rot90.png,1
betterave/001518__rot90.png,2
persil/001480__flipv.png,3
epinard/001234__fliph.png,4
weeds/DSC01528_geotag_ROI_22.png,0
epinard/001193__flipv.png,4
weeds/DSC01561_geotag_ROI_13.png,0
hors_type/DSC01594_geotag_ROI_19__fliph.png,1
weeds/DSC01489_geotag_ROI_30.png,0
epinard/000733__flipv.png,4
